"filename", "language", "JavaScript", "JSON", "SCSS", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\someo\Documents\GitHub\Monopoly\chance.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\someo\Documents\GitHub\Monopoly\chest.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\someo\Documents\GitHub\Monopoly\dice.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\someo\Documents\GitHub\Monopoly\go.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\someo\Documents\GitHub\Monopoly\gotojail.js", "JavaScript", 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\someo\Documents\GitHub\Monopoly\index.html", "HTML", 0, 0, 0, 0, 373, 0, 48, 421
"c:\Users\someo\Documents\GitHub\Monopoly\jail.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\someo\Documents\GitHub\Monopoly\parking.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\someo\Documents\GitHub\Monopoly\player.js", "JavaScript", 103, 0, 0, 0, 0, 2, 8, 113
"c:\Users\someo\Documents\GitHub\Monopoly\property.js", "JavaScript", 50, 0, 0, 0, 0, 1, 9, 60
"c:\Users\someo\Documents\GitHub\Monopoly\script.js", "JavaScript", 504, 0, 0, 0, 0, 0, 41, 545
"c:\Users\someo\Documents\GitHub\Monopoly\station.js", "JavaScript", 60, 0, 0, 0, 0, 1, 5, 66
"c:\Users\someo\Documents\GitHub\Monopoly\street.js", "JavaScript", 99, 0, 0, 0, 0, 1, 5, 105
"c:\Users\someo\Documents\GitHub\Monopoly\style.css", "CSS", 0, 0, 0, 464, 0, 1, 54, 519
"c:\Users\someo\Documents\GitHub\Monopoly\style.scss", "SCSS", 0, 0, 295, 0, 0, 22, 43, 360
"c:\Users\someo\Documents\GitHub\Monopoly\tax.js", "JavaScript", 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\someo\Documents\GitHub\Monopoly\tiles.json", "JSON", 0, 277, 0, 0, 0, 0, 0, 277
"c:\Users\someo\Documents\GitHub\Monopoly\utility.js", "JavaScript", 59, 0, 0, 0, 0, 0, 5, 64
"Total", "-", 961, 277, 295, 464, 373, 28, 228, 2626
